Experimento,Programa,Parametro 1,Parametro 2,Parametro 3,Parametro 4,Parametro 5,Parametro 6,Parametro 7,Parametro 8,simInsts,system_cpu_cpi,system_cpu_ipc,CPUtime,power,EDP
0,h264_dec,0,0,0,0,0,0,0,0,261123615,0.938939,1.065032,0.11675197425927857,2.9291159822779997,2.7502612312841226
0,h264_enc,0,0,0,0,0,0,0,0,314287521,1.009344,0.990742,0.15105915409344,2.6414451732480004,2.66612683694683
0,jpg2k_dec,0,0,0,0,0,0,0,0,388181042,1.196915,0.835481,0.22124748185020476,4.02011671178,4.811737994080159
0,jpg2k_enc,0,0,0,0,0,0,0,0,230470462,0.920137,1.086794,0.10098304737775905,2.376614496204,2.18681093269366
0,mp3_dec,0,0,0,0,0,0,0,0,230472847,0.897638,1.114035,0.09851485020732667,2.347037921116,2.1067904254347245
0,mp3_enc,0,0,0,0,0,0,0,0,238353249,1.199805,0.833469,0.13617972376973572,2.39609697096,2.8748491262426628
